Categoría,Cerceda (KgPO4Eq),Vedra (KgPO4Eq),Ratio Cerceda/Vedra,log10(Cerceda/Vedra),Interpretación
GWP,0.06245703847382138,0.005172195307798433,12.075537514921587,1.0819064714789361,Cerceda mucho mayor
FEU,1.7147385844429743,0.022812922186748328,75.16523181054987,1.8760170011700388,Cerceda mucho mayor
MEU,0.24869881864834056,0.00855189955867394,29.081120158397166,1.4636111308404196,Cerceda mucho mayor
TET,0.01931117891133829,0.0027464949590245476,7.031208576547652,0.847029981209445,Cerceda mayor
FET,12.147101237430817,0.03526765164539702,344.42614324212326,2.537096108620414,Cerceda mucho mayor
MET,8.944651065968914,0.02664502498072874,335.69685419466543,2.525947271506281,Cerceda mucho mayor
WU,-0.0005145200748362632,0.0008465472431228802,-0.6077866049604255,,Vedra mayor (cambio de signo)
